path,bytes,mib,over_50_mib,over_100_mib
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00044.txt,54209,0.051698,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00045.txt,48560,0.046310,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00065.txt,44284,0.042233,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00072.txt,67758,0.064619,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00083.txt,43004,0.041012,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00086.txt,44389,0.042333,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00093.txt,41493,0.039571,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00094.txt,45006,0.042921,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00097.txt,52057,0.049645,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00131.txt,20721,0.019761,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00143.txt,27492,0.026218,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00147.txt,30674,0.029253,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00165.txt,30873,0.029443,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00191.txt,59007,0.056273,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00198.txt,38528,0.036743,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00247.txt,26649,0.025414,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00254.txt,41856,0.039917,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00266.txt,21528,0.020531,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00268.txt,43770,0.041742,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00269.txt,27628,0.026348,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00277.txt,24032,0.022919,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00281.txt,35172,0.033543,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00285.txt,65337,0.062310,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00299.txt,60373,0.057576,False,False
data/fuentes/credito_consumo/bcra_entidades/2026-05/extract/Entfin/Tec_Cont/baldet/00300.txt,48195,0.045962,False,False
